1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    8   0.75000   1.00000   1.00000   0.98880   0.98867   0.91487   0.91383
    9   0.85000   1.00000   1.00000   0.99146   0.99150   0.93417   0.93453
   10   0.95000   1.00000   1.00000   0.99372   0.99391   0.95106   0.95264
   11   1.05000   1.00000   1.00000   0.99588   0.99593   0.96762   0.96800
   12   1.15000   1.00000   1.00000   0.99780   0.99753   0.98256   0.98047
   13   1.25000   1.00000   1.00000   0.99907   0.99873   0.99255   0.98992
   14   1.35000   1.00000   1.00000   0.99953   0.99953   0.99623   0.99628
   15   1.45000   1.00000   1.00000   0.99955   0.99993   0.99640   0.99947
   16   1.55000   1.00000   1.00000   0.99955   0.99993   0.99640   0.99947
   17   1.65000   1.00000   1.00000   0.99955   0.99953   0.99640   0.99628
   18   1.75000   1.00000   1.00000   0.99895   0.99873   0.99162   0.98992
   19   1.85000   1.00000   1.00000   0.99766   0.99753   0.98141   0.98047
   20   1.95000   1.00000   1.00000   0.99595   0.99593   0.96827   0.96800
   21   2.05000   1.00000   1.00000   0.99395   0.99391   0.95265   0.95264
   22   2.15000   1.00000   1.00000   0.99145   0.99150   0.93451   0.93453
   23   2.25000   1.00000   1.00000   0.98877   0.98867   0.91384   0.91383
   24   2.35000   1.00000   1.00000   0.98527   0.98543   0.89075   0.89074
   25   2.45000   1.00000   1.00000   0.98205   0.98177   0.86548   0.86546
   26   2.55000   1.00000   1.00000   0.97725   0.97768   0.83822   0.83821
   27   2.65000   1.00000   1.00000   0.97381   0.97317   0.80926   0.80923
   28   2.75000   1.00000   1.00000   0.96741   0.96823   0.77874   0.77875
   29   2.85000   1.00000   1.00000   0.96378   0.96284   0.74707   0.74703
   30   2.95000   1.00000   1.00000   0.95615   0.95701   0.71429   0.71431
   31   3.05000   1.00000   1.00000   0.95120   0.95072   0.68087   0.68084
   32   3.15000   1.00000   1.00000   0.94418   0.94396   0.64688   0.64687
   33   3.25000   1.00000   1.00000   0.93566   0.93673   0.61261   0.61262
   34   3.35000   1.00000   1.00000   0.93070   0.92901   0.57840   0.57834
   35   3.45000   1.00000   1.00000   0.91921   0.92079   0.54419   0.54424
   36   3.55000   1.00000   1.00000   0.91252   0.91206   0.51054   0.51050
   37   3.65000   1.00000   1.00000   0.90416   0.90281   0.47737   0.47733
   38   3.75000   1.00000   1.00000   0.89026   0.89301   0.44482   0.44489
